current_url,title,action,proposed_new_url,review_reasons
https://jackskeen.com/leadership-lessons-from-iron-john/,Leadership Lessons from “Iron John”,KEEP,/leadership-lessons-from-iron-john/,substantial content / potential SEO value
https://jackskeen.com/learning-to-play-a-friendly-game-of-tennis/,Learning to Play a Friendly Game of Tennis,CONSOLIDATE,/civility-listening/,consolidate
https://jackskeen.com/loner-or-lover/,Loner or Lover?,CONSOLIDATE,/civility-loner-of-lover/,consolidate
https://jackskeen.com/mastering-the-self-taming-the-ego-for-lasting-fulfillment/,Mastering the Self: Taming the Ego for Lasting Fulfillment,KEEP,/mastering-the-self-taming-the-ego-for-lasting-fulfillment/,substantial content / potential SEO value
https://jackskeen.com/portfolio-category/books/,404 Page,REMOVE,,HTTP 404
https://jackskeen.com/portfolio-category/presentations/,404 Page,REMOVE,,HTTP 404
https://jackskeen.com/rediscovering-your-inner-greatness/,Rediscovering Your Inner Greatness,KEEP,/rediscovering-your-inner-greatness/,substantial content / potential SEO value
https://jackskeen.com/roadmap-essentials/,Roadmap Essentials,REDIRECT,/work-with-jack/roadmap-essentials,strategic page | redirect | unsupported external embed
https://jackskeen.com/roadmap-vault/,Roadmap Vault,NOINDEX,/roadmap-vault/,strategic page | noindex
https://jackskeen.com/tag/civility/,Civility,REDIRECT,/insights/topics/relationships,redirect
https://jackskeen.com/tag/community/,community,REDIRECT,/insights/topics/relationships,redirect
https://jackskeen.com/tag/family/,family,REDIRECT,/insights/topics/relationships,redirect
https://jackskeen.com/tag/happiness/,happiness,REDIRECT,/insights/topics/success-fulfillment,redirect
https://jackskeen.com/tag/leadership/,leadership,REDIRECT,/insights/topics/leadership,redirect
https://jackskeen.com/tag/listening/,listening,REDIRECT,/insights/topics/relationships,redirect
https://jackskeen.com/tag/personal-growth-coach/,Personal Growth Coach,REDIRECT,/insights/topics/personal-growth,redirect
https://jackskeen.com/tag/spiritual-growth/,Spiritual Growth,REDIRECT,/insights/topics/personal-growth,redirect
https://jackskeen.com/testimonials/,Success Stories,REDIRECT,/success-stories,strategic page | redirect
https://jackskeen.com/testimonials/alexander-koff/,Alexander Koff – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/bob-moss/,Bob Moss – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/dr-laura-berman/,Dr. Laura Berman – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/jean-moran/,Jean Moran – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/kathleen-mccormick/,Kathleen McCormick – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/marie-hartman/,Marie Hartman – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/mark-few/,Mark Few – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/mark-mitchell/,Mark Mitchell – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/michael-stewart/,Michael Stewart – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/pat-mcmahon/,Pat McMahon – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/rodrigo-leonardo-anunciato/,Rodrigo Leonardo Anunciato – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/samuel-p-chapman/,Samuel P. Chapman – Jack Skeen,CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/testimonials/shane-goodwin-phd/,"Shane Goodwin, PhD – Jack Skeen",CONSOLIDATE,/success-stories,consolidate
https://jackskeen.com/the-circle-blueprint-system/,The Circle Blueprint System,UPDATE,/the-circle-blueprint-system/,strategic page
https://jackskeen.com/the-civility-essays/,The Civility Essays,UPDATE,/the-civility-essays/,strategic page
https://jackskeen.com/the-path-to-true-humility/,The Path to True Humility,KEEP,/the-path-to-true-humility/,substantial content / potential SEO value
https://jackskeen.com/the-power-of-dreams-igniting-your-path-to-fulfillment/,The Power of Dreams: Igniting Your Path to Fulfillment,KEEP,/the-power-of-dreams-igniting-your-path-to-fulfillment/,substantial content / potential SEO value
https://jackskeen.com/the-roadmap/,The Roadmap,REDIRECT,/roadmap,strategic page | redirect
https://jackskeen.com/the-small-part-of-who-we-are/,The Small Part of Who We Are,KEEP,/the-small-part-of-who-we-are/,substantial content / potential SEO value
https://jackskeen.com/the-thriving-scale-a-first-step-to-greatness/,The Thriving Scale: A First Step to Greatness,KEEP,/the-thriving-scale-a-first-step-to-greatness/,substantial content / potential SEO value
https://jackskeen.com/type/video/,Videos,REDIRECT,/insights/videos,redirect
https://jackskeen.com/wear-your-life-scars-with-honor/,Wear Your Life Scars With Honor,KEEP,/wear-your-life-scars-with-honor/,substantial content / potential SEO value
https://jackskeen.com/whats-in-your-circle-2/,What’s in Your Circle?,KEEP,/whats-in-your-circle-2/,title/slug collision
https://jackskeen.com/whats-in-your-circle/,What’s in Your Circle?,UPDATE,/whats-in-your-circle/,title/slug collision
