source,destination,proposed_status,action,notes
/tag/community/,/insights/topics/relationships,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 321 words. Manual review: redirect."
/tag/family/,/insights/topics/relationships,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 108 words. Manual review: redirect."
/tag/happiness/,/insights/topics/success-fulfillment,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 114 words. Manual review: redirect."
/tag/leadership/,/insights/topics/leadership,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 220 words. Manual review: redirect."
/tag/listening/,/insights/topics/relationships,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 52 words. Manual review: redirect."
/tag/personal-growth-coach/,/insights/topics/personal-growth,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 562 words. Manual review: redirect."
/tag/spiritual-growth/,/insights/topics/personal-growth,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 107 words. Manual review: redirect."
/testimonials/,/success-stories,301,REDIRECT,"Equivalent approved testimonial destination. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 755 words. Manual review: strategic page; redirect."
/testimonials/alexander-koff/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 37 words. Manual review: consolidate."
/testimonials/bob-moss/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 48 words. Manual review: consolidate."
/testimonials/dr-laura-berman/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 69 words. Manual review: consolidate."
/testimonials/jean-moran/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 82 words. Manual review: consolidate."
/testimonials/kathleen-mccormick/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 28 words. Manual review: consolidate."
/testimonials/marie-hartman/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 100 words. Manual review: consolidate."
/testimonials/mark-few/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 182 words. Manual review: consolidate."
/testimonials/mark-mitchell/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 123 words. Manual review: consolidate."
/testimonials/michael-stewart/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 82 words. Manual review: consolidate."
/testimonials/pat-mcmahon/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 82 words. Manual review: consolidate."
/testimonials/rodrigo-leonardo-anunciato/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 54 words. Manual review: consolidate."
/testimonials/samuel-p-chapman/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 50 words. Manual review: consolidate."
/testimonials/shane-goodwin-phd/,/success-stories,301,CONSOLIDATE,"Migrate only approved proof into the Success Stories model; verify consent and claims. Discovered via wordpress-sitemap,firecrawl-map. 189 words. Manual review: consolidate."
/the-roadmap/,/roadmap,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 528 words. Legacy markup: elementor-widget-wrap; elementor-widget-heading; elementor-widget-container; elementor-widget-text-editor; elementor-widget-video; elementor-widget-icon-list; elementor-widget-image; elementor-widget-button; elementor-widget-divider--view-line; elementor-widget-divider. Manual review: strategic page; redirect."
/type/video/,/insights/videos,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,firecrawl-map. 127 words. Manual review: redirect."
